frame,video,session,t_sec,w,h,veg
videos__rec_20251130_030636__f000000.jpg,rec_20251130_030636.avi,videos,0.00,640,480,0.0445
videos__rec_20251130_030636__f000020.jpg,rec_20251130_030636.avi,videos,1.00,640,480,0.0628
videos__rec_20251130_030636__f000040.jpg,rec_20251130_030636.avi,videos,2.00,640,480,0.0642
videos__rec_20251130_030636__f000060.jpg,rec_20251130_030636.avi,videos,3.00,640,480,0.0631
videos__rec_20251130_030636__f000080.jpg,rec_20251130_030636.avi,videos,4.00,640,480,0.0635
videos__rec_20251130_030636__f000100.jpg,rec_20251130_030636.avi,videos,5.00,640,480,0.0640
videos__rec_20251130_030636__f000120.jpg,rec_20251130_030636.avi,videos,6.00,640,480,0.0644
videos__rec_20251130_030636__f000140.jpg,rec_20251130_030636.avi,videos,7.00,640,480,0.0647
videos__rec_20251130_030636__f000160.jpg,rec_20251130_030636.avi,videos,8.00,640,480,0.0682
videos__rec_20251130_030636__f000180.jpg,rec_20251130_030636.avi,videos,9.00,640,480,0.0671
videos__rec_20251130_030636__f000200.jpg,rec_20251130_030636.avi,videos,10.00,640,480,0.0681
videos__rec_20251130_030636__f000220.jpg,rec_20251130_030636.avi,videos,11.00,640,480,0.0715
videos__rec_20251130_030636__f000240.jpg,rec_20251130_030636.avi,videos,12.00,640,480,0.0737
videos__rec_20251130_030636__f000260.jpg,rec_20251130_030636.avi,videos,13.00,640,480,0.0752
videos__rec_20251130_030636__f000280.jpg,rec_20251130_030636.avi,videos,14.00,640,480,0.0747
videos__rec_20251130_030636__f000300.jpg,rec_20251130_030636.avi,videos,15.00,640,480,0.0740
videos__rec_20251130_030636__f000320.jpg,rec_20251130_030636.avi,videos,16.00,640,480,0.0718
videos__rec_20251130_030636__f000340.jpg,rec_20251130_030636.avi,videos,17.00,640,480,0.0623
videos__rec_20251130_030636__f000360.jpg,rec_20251130_030636.avi,videos,18.00,640,480,0.0691
videos__rec_20251130_030636__f000380.jpg,rec_20251130_030636.avi,videos,19.00,640,480,0.0697
videos__rec_20251130_030636__f000400.jpg,rec_20251130_030636.avi,videos,20.00,640,480,0.0700
videos__rec_20251130_030636__f000420.jpg,rec_20251130_030636.avi,videos,21.00,640,480,0.0714
videos__rec_20251130_030636__f000440.jpg,rec_20251130_030636.avi,videos,22.00,640,480,0.0697
videos__rec_20251130_030636__f000460.jpg,rec_20251130_030636.avi,videos,23.00,640,480,0.0698
videos__rec_20251130_030636__f000480.jpg,rec_20251130_030636.avi,videos,24.00,640,480,0.0741
videos__rec_20251130_030636__f000500.jpg,rec_20251130_030636.avi,videos,25.00,640,480,0.0741
videos__rec_20251130_030636__f000520.jpg,rec_20251130_030636.avi,videos,26.00,640,480,0.0745
videos__rec_20251130_030636__f000540.jpg,rec_20251130_030636.avi,videos,27.00,640,480,0.0724
videos__rec_20251130_030636__f000560.jpg,rec_20251130_030636.avi,videos,28.00,640,480,0.0747
videos__rec_20251130_030636__f000580.jpg,rec_20251130_030636.avi,videos,29.00,640,480,0.0791
videos__rec_20251130_030636__f000600.jpg,rec_20251130_030636.avi,videos,30.00,640,480,0.0713
videos__rec_20251130_030636__f000620.jpg,rec_20251130_030636.avi,videos,31.00,640,480,0.0686
videos__rec_20251130_030636__f000640.jpg,rec_20251130_030636.avi,videos,32.00,640,480,0.0714
videos__rec_20251130_030636__f000660.jpg,rec_20251130_030636.avi,videos,33.00,640,480,0.0726
videos__rec_20251130_030636__f000680.jpg,rec_20251130_030636.avi,videos,34.00,640,480,0.0735
videos__rec_20251130_030636__f000700.jpg,rec_20251130_030636.avi,videos,35.00,640,480,0.0715
videos__rec_20251130_030636__f000720.jpg,rec_20251130_030636.avi,videos,36.00,640,480,0.0728
videos__rec_20251130_030636__f000740.jpg,rec_20251130_030636.avi,videos,37.00,640,480,0.0650
videos__rec_20251130_030636__f000760.jpg,rec_20251130_030636.avi,videos,38.00,640,480,0.0654
videos__rec_20251130_030636__f000780.jpg,rec_20251130_030636.avi,videos,39.00,640,480,0.0626
videos__rec_20251130_030636__f000800.jpg,rec_20251130_030636.avi,videos,40.00,640,480,0.0638
videos__rec_20251130_030636__f000820.jpg,rec_20251130_030636.avi,videos,41.00,640,480,0.0651
videos__rec_20251130_030636__f000840.jpg,rec_20251130_030636.avi,videos,42.00,640,480,0.0648
videos__rec_20251130_030636__f000860.jpg,rec_20251130_030636.avi,videos,43.00,640,480,0.0642
videos__rec_20251130_030636__f000880.jpg,rec_20251130_030636.avi,videos,44.00,640,480,0.0638
videos__rec_20251130_030636__f000900.jpg,rec_20251130_030636.avi,videos,45.00,640,480,0.0657
videos__rec_20251130_030636__f000920.jpg,rec_20251130_030636.avi,videos,46.00,640,480,0.0681
videos__rec_20251130_030636__f000940.jpg,rec_20251130_030636.avi,videos,47.00,640,480,0.0720
videos__rec_20251130_030636__f000960.jpg,rec_20251130_030636.avi,videos,48.00,640,480,0.0725
videos__rec_20251130_030636__f000980.jpg,rec_20251130_030636.avi,videos,49.00,640,480,0.0735
videos__rec_20251130_030636__f001000.jpg,rec_20251130_030636.avi,videos,50.00,640,480,0.0730
videos__rec_20251130_030636__f001020.jpg,rec_20251130_030636.avi,videos,51.00,640,480,0.0727
videos__rec_20251130_030636__f001040.jpg,rec_20251130_030636.avi,videos,52.00,640,480,0.0716
videos__rec_20251130_030636__f001060.jpg,rec_20251130_030636.avi,videos,53.00,640,480,0.0725
videos__rec_20251130_030636__f001080.jpg,rec_20251130_030636.avi,videos,54.00,640,480,0.0749
videos__rec_20251130_030636__f001100.jpg,rec_20251130_030636.avi,videos,55.00,640,480,0.0777
