video,frame,t_sec,veg,raw_deg,fused_deg,gated,ct_px,fused_ct_px,gt_deg,gt_ct_px
rec_20251130_030636.avi,videos__rec_20251130_030636__f000000.jpg,0.0,0.0445,0.7510430323317564,0.7510430323317564,0,15.649439098522237,15.649439098522237,4.853096386992323,18.041509433962062
rec_20251130_030636.avi,videos__rec_20251130_030636__f000020.jpg,1.0,0.0628,-1.5841163451038678,-0.1830207186424933,0,11.66493935647145,14.055639201701922,7.054756548561236,17.795170527437335
rec_20251130_030636.avi,videos__rec_20251130_030636__f000040.jpg,2.0,0.0642,1.0281989822218076,0.30146716170322707,0,15.038416269116794,14.44875002866787,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000060.jpg,3.0,0.0631,-0.7966952923174357,-0.13779781990503812,0,13.52170802129342,14.077933225718091,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000080.jpg,4.0,0.0635,-0.18246307623853475,-0.15566392243843677,0,13.337851278420771,13.781900446799163,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000100.jpg,5.0,0.064,-0.08403036497065657,-0.1270104994513247,0,13.912344233687634,13.834077961554552,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000120.jpg,6.0,0.0644,-0.8549248438236453,-0.418176237200253,0,13.485974946800752,13.694836755653032,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000140.jpg,7.0,0.0647,-1.502432653211098,-0.851878803604591,0,12.174239835608205,13.0865979876351,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000160.jpg,8.0,0.0682,0.6527622511269945,-0.2500223817119568,0,14.74239725696009,13.748917695365096,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000180.jpg,9.0,0.0671,7.874751717041459,-0.2500223817119568,1,11.824729703251933,12.979242498519831,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000200.jpg,10.0,0.0681,1.6017014271795866,0.49066714184466065,0,16.489508165795826,14.38334876543023,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000220.jpg,11.0,0.0715,0.3881816543953434,0.44967294686493375,0,8.704953982404504,12.11199085221994,5.801805801856783,17.21105700328502
rec_20251130_030636.avi,videos__rec_20251130_030636__f000240.jpg,12.0,0.0737,1.1432067699145547,0.7270864760847822,0,10.346883701076194,11.405947991762442,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000260.jpg,13.0,0.0752,5.120444919733306,2.484429853544192,0,12.624175402069,11.893238955885066,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000280.jpg,14.0,0.0747,6.429465556422936,4.06244413469569,0,16.35452541650534,13.677753540133175,,
rec_20251130_030636.avi,videos__rec_20251130_030636__f000300.jpg,15.0,0.074,7.188250308769121,5.312766604325063,0,16.71889739929742,14.894211083798872,,
