video,frame,t_sec,n_det,yolo_deg,yolo_ct_px,yolo_ct_cm
rec_20251130_030636.avi,videos__rec_20251130_030636__f000000.jpg,0.0,7,1.9661,21.99,2.36
rec_20251130_030636.avi,videos__rec_20251130_030636__f000020.jpg,1.0,7,2.1643,21.31,2.29
rec_20251130_030636.avi,videos__rec_20251130_030636__f000040.jpg,2.0,7,2.8270,22.66,2.44
rec_20251130_030636.avi,videos__rec_20251130_030636__f000060.jpg,3.0,7,2.7751,22.89,2.46
rec_20251130_030636.avi,videos__rec_20251130_030636__f000080.jpg,4.0,7,2.3045,21.40,2.30
rec_20251130_030636.avi,videos__rec_20251130_030636__f000100.jpg,5.0,7,3.3879,24.08,2.59
rec_20251130_030636.avi,videos__rec_20251130_030636__f000120.jpg,6.0,7,3.0477,22.97,2.47
rec_20251130_030636.avi,videos__rec_20251130_030636__f000140.jpg,7.0,9,3.1415,23.22,2.50
rec_20251130_030636.avi,videos__rec_20251130_030636__f000160.jpg,8.0,8,2.4313,21.43,2.30
rec_20251130_030636.avi,videos__rec_20251130_030636__f000180.jpg,9.0,8,2.6443,22.23,2.39
rec_20251130_030636.avi,videos__rec_20251130_030636__f000200.jpg,10.0,9,3.0773,23.46,2.52
rec_20251130_030636.avi,videos__rec_20251130_030636__f000220.jpg,11.0,9,2.8072,22.62,2.43
rec_20251130_030636.avi,videos__rec_20251130_030636__f000240.jpg,12.0,9,2.7354,22.54,2.42
rec_20251130_030636.avi,videos__rec_20251130_030636__f000260.jpg,13.0,9,2.8816,23.12,2.48
rec_20251130_030636.avi,videos__rec_20251130_030636__f000280.jpg,14.0,9,2.5153,21.94,2.36
rec_20251130_030636.avi,videos__rec_20251130_030636__f000300.jpg,15.0,8,2.7886,22.70,2.44
rec_20251130_030636.avi,videos__rec_20251130_030636__f000320.jpg,16.0,8,2.7625,22.81,2.45
rec_20251130_030636.avi,videos__rec_20251130_030636__f000340.jpg,17.0,8,4.0984,26.08,2.80
rec_20251130_030636.avi,videos__rec_20251130_030636__f000360.jpg,18.0,8,3.3648,23.68,2.55
rec_20251130_030636.avi,videos__rec_20251130_030636__f000380.jpg,19.0,8,3.0303,23.13,2.49
rec_20251130_030636.avi,videos__rec_20251130_030636__f000400.jpg,20.0,8,2.6735,22.11,2.38
rec_20251130_030636.avi,videos__rec_20251130_030636__f000420.jpg,21.0,7,2.7424,21.88,2.35
rec_20251130_030636.avi,videos__rec_20251130_030636__f000440.jpg,22.0,8,3.2691,23.31,2.51
rec_20251130_030636.avi,videos__rec_20251130_030636__f000460.jpg,23.0,8,3.2117,23.30,2.50
rec_20251130_030636.avi,videos__rec_20251130_030636__f000480.jpg,24.0,8,3.5740,25.02,2.69
rec_20251130_030636.avi,videos__rec_20251130_030636__f000500.jpg,25.0,8,2.6248,21.96,2.36
rec_20251130_030636.avi,videos__rec_20251130_030636__f000520.jpg,26.0,7,3.0624,23.44,2.52
rec_20251130_030636.avi,videos__rec_20251130_030636__f000540.jpg,27.0,8,2.7357,22.29,2.40
rec_20251130_030636.avi,videos__rec_20251130_030636__f000560.jpg,28.0,7,3.1117,23.04,2.48
rec_20251130_030636.avi,videos__rec_20251130_030636__f000580.jpg,29.0,7,3.2672,23.98,2.58
rec_20251130_030636.avi,videos__rec_20251130_030636__f000600.jpg,30.0,7,2.5429,21.86,2.35
rec_20251130_030636.avi,videos__rec_20251130_030636__f000620.jpg,31.0,7,3.5636,24.03,2.58
rec_20251130_030636.avi,videos__rec_20251130_030636__f000640.jpg,32.0,7,3.5951,24.90,2.68
rec_20251130_030636.avi,videos__rec_20251130_030636__f000660.jpg,33.0,7,2.8242,22.58,2.43
rec_20251130_030636.avi,videos__rec_20251130_030636__f000680.jpg,34.0,9,2.9247,23.14,2.49
rec_20251130_030636.avi,videos__rec_20251130_030636__f000700.jpg,35.0,7,2.8914,22.47,2.42
rec_20251130_030636.avi,videos__rec_20251130_030636__f000720.jpg,36.0,8,2.7923,22.57,2.43
rec_20251130_030636.avi,videos__rec_20251130_030636__f000740.jpg,37.0,9,2.9503,23.52,2.53
rec_20251130_030636.avi,videos__rec_20251130_030636__f000760.jpg,38.0,8,2.5104,21.98,2.36
